Products,Health & Beauty,Electronics,Books,Groceries,Home & Kitchen
"Ridhi Home & Decor Brass Decorative Weighing Scale Set, 10 g (Golden and Brown)",0.05,0.015,0.01,0.025,0.9
Rangshaily Men's Black White Floral Print Fullsleeves Premium Cotton Regular Fit Shirt with Spread Collar,0.1,0.05,0.05,0.1,0.7
Adidas Men's Ellipto Run M Leather Shoe,0.2,0.1,0.3,0.1,0.3
JJ TEES Polyester Half Sleeve Jersey with Round Collar and Digital Print All Over for Men (Color: Navy Blue and Red),0.1,0.2,0.1,0.3,0.3
"AONES Pack of 3 Magnetic Loop Watch Strap Compatible for Titan Smart 2 Watch Strap Black, Gold, Rose Gold",0.05,0.8,0.02,0.03,0.1
Avsar 14k (585) Yellow Gold Ring for Women,0.2,0.05,0.03,0.02,0.7
Jockey Modern Trunks with Double Layer Contoured Pouch US70_Black_M,0.15,0.35,0.05,0.25,0.2
NILUS Cute and Shiny Stone Chain Bracelet for Women and Girls (Purple) (Purple),0.9,0.05,0.02,0.02,0.01
Chappal Mens Leather Handmade Formal Shoes - Brown_{ch52},0.05,0.05,0.1,0.2,0.6
"Cleanz-up Universal Multi Stain Remover for Grease, Dirt, Mold, Mildew, Food, Oil, Drawing Color | Concentrated, Eco Frien...",0,0,0,0.3,0.7
Paridhan Wholesele Regular Fit Scented Vest for Men's (Pack of 5),0.1,0.2,0.1,0.4,0.2
DOCTORSTEP Sandals for women & girls flats casual trendy party wear.,0.8,0.1,0.05,0.02,0.03
PC Jeweller The Hector 22 KT Yellow Gold Ring for Her,0.05,0.3,0.1,0.1,0.45
GABICCI Spin White Driving Leather Casual Slip-On Shoes for Men |65102|,0.02,0.2,0.03,0.05,0.7
THE LITTLE LOOKERS Baby Button Bibs/Apron Cute Overall Print with Tich Button| Soft Cotton Fabric with PVC on Back/Quick A...,0.2,0.03,0.02,0.05,0.7
"Funk For Hire Women Printed Faux Leather 15.6"" Laptop Handbag/Sling Bag Navy Blue And Brown",0.03,0.05,0.02,0.1,0.8
Spykar Men's Super Skinny Fit Jeans,0.1,0.3,0.2,0.1,0.3
Balwaan Tiller Attachment for Brush Cutter 28mm S Type Weeder/Weeding in Fruits and Vegetables//Suitable for All Type of S...,0.05,0.03,0.02,0.6,0.3
Aqualite Men's Trending Shoes,0.05,0.6,0.1,0.05,0.2
Sun Fashion And Lifestyle Women's Cotton Blend Dupatta (Dupp Corona; White; 2.25 mts),0.1,0.03,0.02,0.05,0.8
trunk 80 size,0.15,0.25,0.35,0.1,0.15
"BETSU Breast Lift Tape & Nipple Pasties: Your Solution to a Confident, Contoured, and Fashionable Look in All Your Clothes!",0.95,0.01,0.01,0.01,0.02
"ZEBRONICS Zeb-Delight 10 Wireless Bluetooth v5.0 Portable Speaker with Supporting 5W RMS, RGB LED Lights, 52mm Driver, Upt...",0.006,0.95,0.001,0.008,0.04
"Empica Full Chrome Car Side Cladding Door Beading Protective Garnish Moulding Compatible with City Zx (Set of 4 Pcs, Silver)",0.05,0.1,0.025,0.025,0.8
KGF Running Shoes,0.2,0.4,0.1,0.2,0.1
Brado Jewellery Ethnic Traditional One Gram Gold Glorious Long Chain Black Beads 30 inch Long Mangalsutra/Tanmaniya/Nallap...,0.02,0.01,0.01,0.01,0.95
TS Traderss Women's Soft Cotton Ankle Length Leggings Free Size for Waist 26-34,0.2,0.1,0.05,0.6,0.05
RARE Women Casual Dress,0.15,0.25,0.1,0.3,0.2
"Bang & Olufsen Beolit 20 Powerful Portable Wireless Bluetooth Speaker, Anthracite",0.01,0.9,0.02,0.02,0.05
LEOTUDE Cotton Blend Half Sleeve Back Print Oversized T-Shirts for Women,0.2,0.05,0.02,0.03,0.7
Lancer Active Running Shoe (Active-32),0.1,0.6,0.05,0.15,0.1
GABICCI Winchester Leather Casual Slip On Shoes for Men |08067|,0.03,0.05,0.02,0.1,0.8
Woodland Men Leather Mules,0.03,0.05,0.02,0.1,0.8
ZEYO Women's Cotton Heart Printed Night Suit Set of Shirt & Pyjama 5274,0.2,0.015,0.015,0.03,0.75
"theKiteco. Video Making Kit for Vlogging with Bluetooth Remote, Mic, Mini Tripod Stand, LED Light & Phone Holder Clip for ...",0.01,0.85,0.01,0.03,0.1
Barmunda Gems Pukhraj Stone Certified Natural Yellow Sapphire Gemstone 5.25 Ratti /4.72 Carat,0.1,0.05,0.55,0.2,0.1
"Sennheiser New ANC CX Plus SE True Wireless in Ear Earbuds Special Edition, Bluetooth Headphone with Mic for Music & Call...",0.01,0.95,0.01,0.01,0.02
Dixcy Scott Cotton Men’s Trunk Modern Fit Solid Innerwear Pack of 3,0.05,0.02,0.03,0.88,0.02
YouBella Jewellery Sets for Women Gold Plated Kundan Wedding Bridal Necklace Jewellery Set with Earrings for Girls/Women,0.1,0.1,0.05,0.05,0.7
AISEN OFR - 9Fin 2400-Watt PTC Fan Heater White _AOHTR01,0.005,0.95,0.01,0.005,0.03
Yellow Chimes Exclusive Floral Design Crystal Watch Cuff&Kada Watch Bracelet for Women,0.1,0.03,0.02,0.05,0.8
MUTAQINOTI Men's Federal Blue Suede Leather Loafers Casual Front Monk Penny Shoes for Men (SU_FM),0.2,0.05,0.05,0.1,0.6
